COURSECODE,COURSENAME,COURSENAMEENG,CREDITTOTAL
000146,ความสุขของชีวิต,HAPPINESS OF LIFE,3
000160,คอมพิวเตอร์และเทคโนโลยีสารสนเทศขั้นพื้นฐาน,BASIC COMPUTER AND INFORMATION TECHNOLOGY,3
050108,ภาษาอังกฤษสำหรับวิทยาศาสตร์,ENGLISH FOR  SCIENCES,3
300109,วิทยาศาสตร์กายภาพ,PHYSICAL SCIENCE,3
300202,การเตรียมความพร้อมก่อนปฏิบัติงานสหกิจศึกษาสำหรับนักศึกษาคณะวิทยาศาสตร์,ORIENTATION TO CO-OPERATIVE EDUCATION FOR SCIENCE STUDENTS,1
300302,นิติวิทยาศาสตร์เบื้องต้น,ELEMENTARY TO FORENSIC SCIENCE,3
300304,หลักมูลการระบุรูปพรรณส่วนบุคคล,FUNDAMENTAL OF PERSONAL IDENTIFICATION,3
300305,สารพิษชีวภาพทางนิติวิทยาศาสตร์,BIOTOXINS IN FORENSIC SCIENCE,3
300306,พิษวิทยาในนิติวิทยาศาสตร์ขั้นแนะนำ,INTRODUCTION TO TOXICOLOGY IN FORENSIC SCIENCE,3
314106,คณิตศาสตร์ทั่วไป,GENERAL MATHEMATICS,3
314122,แคลคูลัสสำหรับวิทยาศาสตร์กายภาพ 2,CALCULUS FOR PHYSICAL SCIENCE II,3
316201,สถิติขั้นต้น,INTRODUCTION TO STATISTICS,3
322114,การเขียนโปรแกรมเชิงโครงสร้างสำหรับวิทยาการคอมพิวเตอร์,STRUCTURED PROGRAMMING FOR COMPUTER SCIENCE,3
322161,เทคโนโลยีสารสนเทศและการสื่อสารขั้นแนะนำ,INTRODUCTION TO INFORMATION AND COMMUNICATION TECHNOLOGY,3
322231,หลักการออกแบบและพัฒนาซอฟต์แวร์,PRINCIPLES OF SOFTWARE DESIGN AND DEVELOPMENT,3
322232,ภูมิสารสนเทศขั้นแนะนำ,INTRODUCTION TO GEOINFORMATICS,3
322254,การเขียนโปรแกรมสคริปต์,SCRIPT PROGRAMMING,3
322325,ระบบปฏิบัติการและการเขียนโปรแกรมซีสเต็มคอล,OPERATING SYSTEM AND SYSTEM CALLS PROGRAMMING,3
322336,ระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN,3
322352,การวิเคราะห์ขั้นตอนวิธี,ANALYSIS OF ALGORITHMS,3
322371,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3
322421,ปฏิบัติการระบบข่ายงานและระบบปฏิบัติการ,NETWORKING AND OPERATING SYSTEMS LABORATORY,3
322435,การโต้ตอบระหว่างมนุษย์และคอมพิวเตอร์,HUMAN-COMPUTER INTERACTION,3
322444,การวิเคราะห์ข้อมูลขนาดใหญ่โดยแรพพิดไมเนอร์,BIG DATA ANALYTICS USING RAPIDMINER,3
322462,การเชื่อมต่ออินเทอร์เน็ต,INTERNETWORKING,3
322471,การจัดการเทคโนโลยีสารสนเทศ,MANAGEMANT OF INFORMATION TECHNOLOGY,3
322498,โครงการวิจัยทางวิทยาการคอมพิวเตอร์ ระดับปริญญาตรี 1,UNDERGRADUATE RESEARCH PROJECT FOR COMPUTER SCIENCE I,3
322499,โครงการวิจัยทางวิทยาการคอมพิวเตอร์ ระดับปริญญาตรี 2,UNDERADUATE RESEARCH PROJECT FOR COMPUTER SCIENCE II,3
323246,วิยุตคณิตและการประยุกต์,DISCRETE MATHEMATICS AND APPLICATIONS,3
